+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| APU0000716116 | 2019 |  M10   | 1.728 |           |
| APU0000716116 | 2019 |  M09   | 1.745 |           |
| APU0000716116 | 2019 |  M08   | 1.649 |           |
| APU0000716116 | 2019 |  M07   | 1.686 |           |
| APU0000716116 | 2019 |  M06   | 1.689 |           |
| APU0000716116 | 2019 |  M05   | 1.579 |           |
| APU0000716116 | 2019 |  M04   | 1.566 |           |
| APU0000716116 | 2019 |  M03   | 1.579 |           |
| APU0000716116 | 2019 |  M02   | 1.556 |           |
| APU0000716116 | 2019 |  M01   | 1.575 |           |
| APU0000716116 | 2018 |  M12   | 1.567 |           |
| APU0000716116 | 2018 |  M11   | 1.564 |           |
| APU0000716116 | 2018 |  M10   | 1.600 |           |
| APU0000716116 | 2018 |  M09   | 1.686 |           |
| APU0000716116 | 2018 |  M08   | 1.655 |           |
| APU0000716116 | 2018 |  M07   | 1.635 |           |
| APU0000716116 | 2018 |  M06   | 1.623 |           |
| APU0000716116 | 2018 |  M05   | 1.623 |           |
| APU0000716116 | 2018 |  M04   | 1.657 |           |
| APU0000716116 | 2018 |  M03   | 1.672 |           |
| APU0000716116 | 2018 |  M02   | 1.677 |           |
| APU0000716116 | 2018 |  M01   | 1.671 |           |
| APU0000716116 | 2017 |  M12   | 1.697 |           |
| APU0000716116 | 2017 |  M11   | 1.634 |           |
| APU0000716116 | 2017 |  M10   | 1.709 |           |
| APU0000716116 | 2017 |  M09   | 1.717 |           |
| APU0000716116 | 2017 |  M08   | 1.706 |           |
| APU0000716116 | 2017 |  M07   | 1.704 |           |
| APU0000716116 | 2017 |  M06   | 1.704 |           |
| APU0000716116 | 2017 |  M05   | 1.703 |           |
| APU0000716116 | 2017 |  M04   | 1.818 |           |
| APU0000716116 | 2017 |  M03   | 1.798 |           |
| APU0000716116 | 2017 |  M02   | 1.820 |           |
| APU0000716116 | 2017 |  M01   | 1.771 |           |
| APU0000716116 | 2016 |  M12   | 1.782 |           |
| APU0000716116 | 2016 |  M11   | 1.747 |           |
| APU0000716116 | 2016 |  M10   | 1.826 |           |
| APU0000716116 | 2016 |  M09   | 1.841 |           |
| APU0000716116 | 2016 |  M08   | 1.818 |           |
| APU0000716116 | 2016 |  M07   | 1.867 |           |
| APU0000716116 | 2016 |  M06   | 1.828 |           |
| APU0000716116 | 2016 |  M05   | 1.844 |           |
| APU0000716116 | 2016 |  M04   | 1.846 |           |
| APU0000716116 | 2016 |  M03   | 1.775 |           |
| APU0000716116 | 2016 |  M02   | 1.841 |           |
| APU0000716116 | 2016 |  M01   | 1.849 |           |
| APU0000716116 | 2015 |  M12   | 1.856 |           |
| APU0000716116 | 2015 |  M11   | 1.810 |           |
| APU0000716116 | 2015 |  M10   | 1.935 |           |
| APU0000716116 | 2015 |  M09   | 1.904 |           |
| APU0000716116 | 2015 |  M08   | 1.940 |           |
| APU0000716116 | 2015 |  M07   | 1.892 |           |
| APU0000716116 | 2015 |  M06   | 1.939 |           |
| APU0000716116 | 2015 |  M05   | 2.004 |           |
| APU0000716116 | 2015 |  M04   | 2.006 |           |
| APU0000716116 | 2015 |  M03   | 1.975 |           |
| APU0000716116 | 2015 |  M02   | 1.972 |           |
| APU0000716116 | 2015 |  M01   | 1.966 |           |
| APU0000716116 | 2014 |  M12   | 1.963 |           |
| APU0000716116 | 2014 |  M11   | 1.935 |           |
| APU0000716116 | 2014 |  M10   | 2.060 |           |
| APU0000716116 | 2014 |  M09   | 2.066 |           |
| APU0000716116 | 2014 |  M08   | 2.077 |           |
| APU0000716116 | 2014 |  M07   | 2.066 |           |
| APU0000716116 | 2014 |  M06   | 2.085 |           |
| APU0000716116 | 2014 |  M05   | 2.176 |           |
| APU0000716116 | 2014 |  M04   | 2.072 |           |
| APU0000716116 | 2014 |  M03   | 2.109 |           |
| APU0000716116 | 2014 |  M02   | 2.089 |           |
| APU0000716116 | 2014 |  M01   | 2.112 |           |
| APU0000716116 | 2013 |  M12   | 2.069 |           |
| APU0000716116 | 2013 |  M11   | 2.086 |           |
| APU0000716116 | 2013 |  M10   | 2.088 |           |
| APU0000716116 | 2013 |  M09   | 2.105 |           |
| APU0000716116 | 2013 |  M08   | 2.099 |           |
| APU0000716116 | 2013 |  M07   | 2.108 |           |
| APU0000716116 | 2013 |  M06   | 2.087 |           |
| APU0000716116 | 2013 |  M05   | 2.083 |           |
| APU0000716116 | 2013 |  M04   | 2.027 |           |
| APU0000716116 | 2013 |  M03   | 2.138 |           |
| APU0000716116 | 2013 |  M02   | 2.143 |           |
| APU0000716116 | 2013 |  M01   | 2.127 |           |
| APU0000716116 | 2012 |  M12   | 2.084 |           |
| APU0000716116 | 2012 |  M11   | 2.066 |           |
| APU0000716116 | 2012 |  M10   | 2.179 |           |
| APU0000716116 | 2012 |  M09   | 2.085 |           |
| APU0000716116 | 2012 |  M08   | 2.092 |           |
| APU0000716116 | 2012 |  M07   | 2.079 |           |
| APU0000716116 | 2012 |  M06   | 2.049 |           |
| APU0000716116 | 2012 |  M05   | 2.093 |           |
| APU0000716116 | 2012 |  M04   | 1.998 |           |
| APU0000716116 | 2012 |  M03   | 1.988 |           |
| APU0000716116 | 2012 |  M02   | 1.968 |           |
| APU0000716116 | 2012 |  M01   | 1.962 |           |
+---------------+------+--------+-------+-----------+
