+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| APU0000702111 | 2021 |  M12   | 1.532 |           |
| APU0000702111 | 2021 |  M11   | 1.547 |           |
| APU0000702111 | 2021 |  M10   | 1.526 |           |
| APU0000702111 | 2021 |  M09   | 1.580 |           |
| APU0000702111 | 2021 |  M08   | 1.467 |           |
| APU0000702111 | 2021 |  M07   | 1.491 |           |
| APU0000702111 | 2021 |  M06   | 1.510 |           |
| APU0000702111 | 2021 |  M05   | 1.511 |           |
| APU0000702111 | 2021 |  M04   | 1.510 |           |
| APU0000702111 | 2021 |  M03   | 1.526 |           |
| APU0000702111 | 2021 |  M02   | 1.537 |           |
| APU0000702111 | 2021 |  M01   | 1.546 |           |
| APU0000702111 | 2020 |  M12   | 1.538 |           |
| APU0000702111 | 2020 |  M11   | 1.515 |           |
| APU0000702111 | 2020 |  M10   | 1.503 |           |
| APU0000702111 | 2020 |  M09   | 1.492 |           |
| APU0000702111 | 2020 |  M08   | 1.495 |           |
| APU0000702111 | 2020 |  M07   | 1.485 |           |
| APU0000702111 | 2020 |  M06   | 1.474 |           |
| APU0000702111 | 2020 |  M05   | 1.412 |           |
| APU0000702111 | 2020 |  M04   | 1.406 |           |
| APU0000702111 | 2020 |  M03   | 1.374 |           |
| APU0000702111 | 2020 |  M02   | 1.375 |           |
| APU0000702111 | 2020 |  M01   | 1.351 |           |
| APU0000702111 | 2019 |  M12   | 1.363 |           |
| APU0000702111 | 2019 |  M11   | 1.361 |           |
| APU0000702111 | 2019 |  M10   | 1.325 |           |
| APU0000702111 | 2019 |  M09   | 1.296 |           |
| APU0000702111 | 2019 |  M08   | 1.275 |           |
| APU0000702111 | 2019 |  M07   | 1.281 |           |
| APU0000702111 | 2019 |  M06   | 1.280 |           |
| APU0000702111 | 2019 |  M05   | 1.289 |           |
| APU0000702111 | 2019 |  M04   | 1.285 |           |
| APU0000702111 | 2019 |  M03   | 1.261 |           |
| APU0000702111 | 2019 |  M02   | 1.282 |           |
| APU0000702111 | 2019 |  M01   | 1.274 |           |
| APU0000702111 | 2018 |  M12   | 1.290 |           |
| APU0000702111 | 2018 |  M11   | 1.274 |           |
| APU0000702111 | 2018 |  M10   | 1.277 |           |
| APU0000702111 | 2018 |  M09   | 1.288 |           |
| APU0000702111 | 2018 |  M08   | 1.302 |           |
