+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| APU0000701312 | 2021 |  M12   | 0.820 |           |
| APU0000701312 | 2021 |  M11   | 0.844 |           |
| APU0000701312 | 2021 |  M10   | 0.788 |           |
| APU0000701312 | 2021 |  M09   | 0.798 |           |
| APU0000701312 | 2021 |  M08   | 0.784 |           |
| APU0000701312 | 2021 |  M07   | 0.782 |           |
| APU0000701312 | 2021 |  M06   | 0.778 |           |
| APU0000701312 | 2021 |  M05   | 0.801 |           |
| APU0000701312 | 2021 |  M04   | 0.785 |           |
| APU0000701312 | 2021 |  M03   | 0.772 |           |
| APU0000701312 | 2021 |  M02   | 0.779 |           |
| APU0000701312 | 2021 |  M01   | 0.794 |           |
| APU0000701312 | 2020 |  M12   | 0.789 |           |
| APU0000701312 | 2020 |  M11   | 0.791 |           |
| APU0000701312 | 2020 |  M10   | 0.766 |           |
| APU0000701312 | 2020 |  M09   | 0.777 |           |
| APU0000701312 | 2020 |  M08   | 0.769 |           |
| APU0000701312 | 2020 |  M07   | 0.772 |           |
| APU0000701312 | 2020 |  M06   | 0.749 |           |
| APU0000701312 | 2020 |  M05   | 0.748 |           |
| APU0000701312 | 2020 |  M03   | 0.733 |           |
| APU0000701312 | 2020 |  M02   | 0.734 |           |
| APU0000701312 | 2020 |  M01   | 0.716 |           |
| APU0000701312 | 2019 |  M12   | 0.714 |           |
| APU0000701312 | 2019 |  M11   | 0.721 |           |
| APU0000701312 | 2019 |  M10   | 0.773 |           |
| APU0000701312 | 2019 |  M09   | 0.797 |           |
| APU0000701312 | 2019 |  M08   | 0.793 |           |
| APU0000701312 | 2019 |  M07   | 0.798 |           |
| APU0000701312 | 2019 |  M06   | 0.801 |           |
| APU0000701312 | 2019 |  M05   | 0.761 |           |
| APU0000701312 | 2019 |  M04   | 0.767 |           |
| APU0000701312 | 2019 |  M03   | 0.757 |           |
| APU0000701312 | 2019 |  M02   | 0.762 |           |
| APU0000701312 | 2019 |  M01   | 0.730 |           |
| APU0000701312 | 2018 |  M12   | 0.712 |           |
| APU0000701312 | 2018 |  M11   | 0.711 |           |
| APU0000701312 | 2018 |  M10   | 0.685 |           |
| APU0000701312 | 2018 |  M09   | 0.693 |           |
| APU0000701312 | 2018 |  M08   | 0.705 |           |
| APU0000701312 | 2018 |  M07   | 0.690 |           |
| APU0000701312 | 2018 |  M06   | 0.689 |           |
| APU0000701312 | 2018 |  M05   | 0.698 |           |
| APU0000701312 | 2018 |  M04   | 0.685 |           |
| APU0000701312 | 2018 |  M03   | 0.682 |           |
| APU0000701312 | 2018 |  M02   | 0.691 |           |
| APU0000701312 | 2018 |  M01   | 0.682 |           |
| APU0000701312 | 2017 |  M12   | 0.711 |           |
| APU0000701312 | 2017 |  M11   | 0.712 |           |
| APU0000701312 | 2017 |  M10   | 0.723 |           |
| APU0000701312 | 2017 |  M09   | 0.741 |           |
| APU0000701312 | 2017 |  M08   | 0.753 |           |
| APU0000701312 | 2017 |  M07   | 0.764 |           |
| APU0000701312 | 2017 |  M06   | 0.752 |           |
| APU0000701312 | 2017 |  M05   | 0.726 |           |
| APU0000701312 | 2017 |  M04   | 0.686 |           |
| APU0000701312 | 2017 |  M03   | 0.692 |           |
| APU0000701312 | 2017 |  M02   | 0.695 |           |
| APU0000701312 | 2017 |  M01   | 0.700 |           |
| APU0000701312 | 2016 |  M12   | 0.693 |           |
| APU0000701312 | 2016 |  M11   | 0.703 |           |
| APU0000701312 | 2016 |  M10   | 0.697 |           |
| APU0000701312 | 2016 |  M09   | 0.721 |           |
| APU0000701312 | 2016 |  M08   | 0.729 |           |
| APU0000701312 | 2016 |  M07   | 0.740 |           |
| APU0000701312 | 2016 |  M06   | 0.734 |           |
| APU0000701312 | 2016 |  M05   | 0.747 |           |
| APU0000701312 | 2016 |  M04   | 0.703 |           |
| APU0000701312 | 2016 |  M03   | 0.711 |           |
| APU0000701312 | 2016 |  M02   | 0.707 |           |
| APU0000701312 | 2016 |  M01   | 0.709 |           |
| APU0000701312 | 2015 |  M12   | 0.711 |           |
| APU0000701312 | 2015 |  M11   | 0.732 |           |
| APU0000701312 | 2015 |  M10   | 0.690 |           |
| APU0000701312 | 2015 |  M09   | 0.662 |           |
| APU0000701312 | 2015 |  M08   | 0.669 |           |
| APU0000701312 | 2015 |  M07   | 0.673 |           |
| APU0000701312 | 2015 |  M06   | 0.691 |           |
| APU0000701312 | 2015 |  M05   | 0.676 |           |
| APU0000701312 | 2015 |  M04   | 0.670 |           |
| APU0000701312 | 2015 |  M03   | 0.670 |           |
| APU0000701312 | 2015 |  M02   | 0.689 |           |
| APU0000701312 | 2015 |  M01   | 0.692 |           |
| APU0000701312 | 2014 |  M12   | 0.700 |           |
| APU0000701312 | 2014 |  M11   | 0.717 |           |
| APU0000701312 | 2014 |  M10   | 0.723 |           |
| APU0000701312 | 2014 |  M09   | 0.746 |           |
| APU0000701312 | 2014 |  M08   | 0.737 |           |
| APU0000701312 | 2014 |  M07   | 0.758 |           |
| APU0000701312 | 2014 |  M06   | 0.742 |           |
| APU0000701312 | 2014 |  M05   | 0.739 |           |
| APU0000701312 | 2014 |  M04   | 0.750 |           |
| APU0000701312 | 2014 |  M03   | 0.733 |           |
| APU0000701312 | 2014 |  M02   | 0.732 |           |
| APU0000701312 | 2014 |  M01   | 0.731 |           |
| APU0000701312 | 2013 |  M12   | 0.735 |           |
| APU0000701312 | 2013 |  M11   | 0.729 |           |
| APU0000701312 | 2013 |  M10   | 0.734 |           |
| APU0000701312 | 2013 |  M09   | 0.741 |           |
| APU0000701312 | 2013 |  M08   | 0.737 |           |
| APU0000701312 | 2013 |  M07   | 0.721 |           |
| APU0000701312 | 2013 |  M06   | 0.723 |           |
| APU0000701312 | 2013 |  M05   | 0.702 |           |
| APU0000701312 | 2013 |  M04   | 0.724 |           |
| APU0000701312 | 2013 |  M03   | 0.714 |           |
| APU0000701312 | 2013 |  M02   | 0.708 |           |
| APU0000701312 | 2013 |  M01   | 0.715 |           |
| APU0000701312 | 2012 |  M12   | 0.714 |           |
| APU0000701312 | 2012 |  M11   | 0.704 |           |
| APU0000701312 | 2012 |  M10   | 0.685 |           |
| APU0000701312 | 2012 |  M09   | 0.684 |           |
| APU0000701312 | 2012 |  M08   | 0.683 |           |
| APU0000701312 | 2012 |  M07   | 0.681 |           |
| APU0000701312 | 2012 |  M06   | 0.681 |           |
| APU0000701312 | 2012 |  M05   | 0.677 |           |
| APU0000701312 | 2012 |  M04   | 0.696 |           |
| APU0000701312 | 2012 |  M03   | 0.700 |           |
| APU0000701312 | 2012 |  M02   | 0.718 |           |
| APU0000701312 | 2012 |  M01   | 0.739 |           |
+---------------+------+--------+-------+-----------+
