+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| APU0000FC1101 | 2021 |  M12   | 5.174 |           |
| APU0000FC1101 | 2021 |  M11   | 5.261 |           |
| APU0000FC1101 | 2021 |  M10   | 5.237 |           |
| APU0000FC1101 | 2021 |  M09   | 5.051 |           |
| APU0000FC1101 | 2021 |  M08   | 4.964 |           |
| APU0000FC1101 | 2021 |  M07   | 4.846 |           |
| APU0000FC1101 | 2021 |  M06   | 4.869 |           |
| APU0000FC1101 | 2021 |  M05   | 4.703 |           |
| APU0000FC1101 | 2021 |  M04   | 4.656 |           |
| APU0000FC1101 | 2021 |  M03   | 4.648 |           |
| APU0000FC1101 | 2021 |  M02   | 4.556 |           |
| APU0000FC1101 | 2021 |  M01   | 4.543 |           |
| APU0000FC1101 | 2020 |  M12   | 4.555 |           |
| APU0000FC1101 | 2020 |  M11   | 4.596 |           |
| APU0000FC1101 | 2020 |  M10   | 4.552 |           |
| APU0000FC1101 | 2020 |  M09   | 4.547 |           |
| APU0000FC1101 | 2020 |  M08   | 4.640 |           |
| APU0000FC1101 | 2020 |  M07   | 4.840 |           |
| APU0000FC1101 | 2020 |  M06   | 5.291 |           |
| APU0000FC1101 | 2020 |  M05   | 4.931 |           |
| APU0000FC1101 | 2020 |  M04   | 4.556 |           |
| APU0000FC1101 | 2020 |  M03   | 4.355 |           |
| APU0000FC1101 | 2020 |  M02   | 4.298 |           |
| APU0000FC1101 | 2020 |  M01   | 4.343 |           |
| APU0000FC1101 | 2019 |  M12   | 4.300 |           |
| APU0000FC1101 | 2019 |  M11   | 4.241 |           |
| APU0000FC1101 | 2019 |  M10   | 4.262 |           |
| APU0000FC1101 | 2019 |  M09   | 4.209 |           |
| APU0000FC1101 | 2019 |  M08   | 4.249 |           |
| APU0000FC1101 | 2019 |  M07   | 4.258 |           |
| APU0000FC1101 | 2019 |  M06   | 4.231 |           |
| APU0000FC1101 | 2019 |  M05   | 4.277 |           |
| APU0000FC1101 | 2019 |  M04   | 4.198 |           |
| APU0000FC1101 | 2019 |  M03   | 4.138 |           |
| APU0000FC1101 | 2019 |  M02   | 4.169 |           |
