year,period,periodName,value,footnotes,seriesID
2014,M12,December,0.585,,APU0000711211
2014,M11,November,0.592,,APU0000711211
2014,M10,October,0.582,,APU0000711211
2014,M09,September,0.606,,APU0000711211
2014,M08,August,0.608,,APU0000711211
2014,M07,July,0.606,,APU0000711211
2014,M06,June,0.607,,APU0000711211
2014,M05,May,0.603,,APU0000711211
2014,M04,April,0.597,,APU0000711211
2014,M03,March,0.597,,APU0000711211
2014,M02,February,0.599,,APU0000711211
2014,M01,January,0.595,,APU0000711211
2013,M12,December,0.592,,APU0000711211
2013,M11,November,0.587,,APU0000711211
2013,M10,October,0.586,,APU0000711211
2013,M09,September,0.601,,APU0000711211
2013,M08,August,0.595,,APU0000711211
2013,M07,July,0.602,,APU0000711211
2013,M06,June,0.603,,APU0000711211
2013,M05,May,0.603,,APU0000711211
2013,M04,April,0.597,,APU0000711211
2013,M03,March,0.609,,APU0000711211
2013,M02,February,0.611,,APU0000711211
2013,M01,January,0.609,,APU0000711211
2012,M12,December,0.606,,APU0000711211
2012,M11,November,0.600,,APU0000711211
2012,M10,October,0.602,,APU0000711211
2012,M09,September,0.597,,APU0000711211
2012,M08,August,0.595,,APU0000711211
2012,M07,July,0.604,,APU0000711211
2012,M06,June,0.605,,APU0000711211
2012,M05,May,0.599,,APU0000711211
2012,M04,April,0.603,,APU0000711211
2012,M03,March,0.607,,APU0000711211
2012,M02,February,0.603,,APU0000711211
2012,M01,January,0.604,,APU0000711211
2011,M12,December,0.599,,APU0000711211
2011,M11,November,0.598,,APU0000711211
2011,M10,October,0.607,,APU0000711211
2011,M09,September,0.607,,APU0000711211
2011,M08,August,0.606,,APU0000711211
2011,M07,July,0.611,,APU0000711211
2011,M06,June,0.614,,APU0000711211
2011,M05,May,0.617,,APU0000711211
2011,M04,April,0.621,,APU0000711211
2011,M03,March,0.621,,APU0000711211
2011,M02,February,0.625,,APU0000711211
