,ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,status
2,5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,59.0,3.0,1,0,0,0,Security staff,2.0,29.0,0
3,5008808,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.0,8.0,1,0,1,1,Sales staff,1.0,4.0,0
4,5008809,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.0,8.0,1,0,1,1,Sales staff,1.0,26.0,0
5,5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.0,8.0,1,0,1,1,Sales staff,1.0,26.0,0
6,5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.0,8.0,1,0,1,1,Sales staff,1.0,38.0,1
10,5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.0,2.0,1,1,1,1,Accountants,2.0,5.0,0
11,5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.0,2.0,1,1,1,1,Accountants,2.0,42.0,1
13,5008819,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,1,0,0,0,Laborers,2.0,17.0,0
14,5008820,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,1,0,0,0,Laborers,2.0,16.0,0
15,5008821,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,1,0,0,0,Laborers,2.0,8.0,0
16,5008822,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,1,0,0,0,Laborers,2.0,22.0,0
17,5008823,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,1,0,0,0,Laborers,2.0,7.0,0
18,5008824,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,1,0,0,0,Laborers,2.0,3.0,0
19,5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.0,3.0,1,0,0,0,Accountants,2.0,25.0,0
20,5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.0,3.0,1,0,0,0,Accountants,2.0,30.0,1
21,5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,1,0,1,0,Laborers,2.0,31.0,1
22,5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,1,0,1,0,Laborers,2.0,19.0,0
23,5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,1,0,1,0,Laborers,2.0,34.0,1
27,5008836,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,1,0,0,0,Laborers,5.0,24.0,0
28,5008837,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,1,0,0,0,Laborers,5.0,18.0,0
29,5008838,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,1,0,0,0,Managers,3.0,39.0,1
30,5008839,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,1,0,0,0,Managers,3.0,13.0,0
