year,period,periodName,value,footnotes,seriesID
2014,M12,December,0.636,,APU0000712112
2014,M11,November,0.641,,APU0000712112
2014,M10,October,0.669,,APU0000712112
2014,M09,September,0.671,,APU0000712112
2014,M08,August,0.689,,APU0000712112
2014,M07,July,0.696,,APU0000712112
2014,M06,June,0.685,,APU0000712112
2014,M05,May,0.678,,APU0000712112
2014,M04,April,0.672,,APU0000712112
2014,M03,March,0.678,,APU0000712112
2014,M02,February,0.684,,APU0000712112
2014,M01,January,0.688,,APU0000712112
2013,M12,December,0.667,,APU0000712112
2013,M11,November,0.675,,APU0000712112
2013,M10,October,0.688,,APU0000712112
2013,M09,September,0.746,,APU0000712112
2013,M08,August,0.756,,APU0000712112
2013,M07,July,0.704,,APU0000712112
2013,M06,June,0.646,,APU0000712112
2013,M05,May,0.636,,APU0000712112
2013,M04,April,0.619,,APU0000712112
2013,M03,March,0.611,,APU0000712112
2013,M02,February,0.636,,APU0000712112
2013,M01,January,0.627,,APU0000712112
2012,M12,December,0.621,,APU0000712112
2012,M11,November,0.625,,APU0000712112
2012,M10,October,0.625,,APU0000712112
2012,M09,September,0.645,,APU0000712112
2012,M08,August,0.652,,APU0000712112
2012,M07,July,0.672,,APU0000712112
2012,M06,June,0.676,,APU0000712112
2012,M05,May,0.675,,APU0000712112
2012,M04,April,0.690,,APU0000712112
2012,M03,March,0.680,,APU0000712112
2012,M02,February,0.673,,APU0000712112
2012,M01,January,0.676,,APU0000712112
2011,M12,December,0.666,,APU0000712112
2011,M11,November,0.686,,APU0000712112
2011,M10,October,0.683,,APU0000712112
2011,M09,September,0.735,,APU0000712112
2011,M08,August,0.755,,APU0000712112
2011,M07,July,0.717,,APU0000712112
2011,M06,June,0.685,,APU0000712112
2011,M05,May,0.693,,APU0000712112
2011,M04,April,0.653,,APU0000712112
2011,M03,March,0.636,,APU0000712112
2011,M02,February,0.611,,APU0000712112
