,Gender,Has a car,Has a property,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a work phone,Has a phone,Has an email,Family member count,Account age,status
2,M,Y,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,21474,1134,0,0,0,2.0,29.0,0
3,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,0,1,1,1.0,4.0,0
4,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,0,1,1,1.0,26.0,0
5,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,0,1,1,1.0,26.0,0
6,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19110,3051,0,1,1,1.0,38.0,1
10,M,Y,Y,270000.0,Working,Higher education,Married,House / apartment,16872,769,1,1,1,2.0,5.0,0
11,M,Y,Y,270000.0,Working,Higher education,Married,House / apartment,16872,769,1,1,1,2.0,42.0,1
13,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,0,0,0,2.0,17.0,0
14,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,0,0,0,2.0,16.0,0
15,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,0,0,0,2.0,8.0,0
16,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,0,0,0,2.0,22.0,0
17,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,0,0,0,2.0,7.0,0
18,M,Y,Y,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17778,1194,0,0,0,2.0,3.0,0
19,F,Y,N,130500.0,Working,Incomplete higher,Married,House / apartment,10669,1103,0,0,0,2.0,25.0,0
20,F,Y,N,130500.0,Working,Incomplete higher,Married,House / apartment,10669,1103,0,0,0,2.0,30.0,1
21,F,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,10031,1469,0,1,0,2.0,31.0,1
22,F,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,10031,1469,0,1,0,2.0,19.0,0
23,F,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,10031,1469,0,1,0,2.0,34.0,1
27,M,Y,Y,270000.0,Working,Secondary / secondary special,Married,House / apartment,12689,1163,0,0,0,5.0,24.0,0
28,M,Y,Y,270000.0,Working,Secondary / secondary special,Married,House / apartment,12689,1163,0,0,0,5.0,18.0,0
29,M,N,Y,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,3.0,39.0,1
30,M,N,Y,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,3.0,13.0,0
31,M,N,Y,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,3.0,55.0,1
32,M,N,Y,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,3.0,4.0,0
33,M,N,Y,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,3.0,8.0,0
34,M,N,Y,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,3.0,29.0,0
35,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,43.0,1
36,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,11.0,0
37,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,46.0,1
38,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,51.0,1
39,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,25.0,0
40,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,11.0,0
41,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,0.0,0
42,M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20502,4450,0,1,0,2.0,39.0,1
46,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,39.0,1
47,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,28.0,0
48,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,3.0,0
49,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,27.0,0
50,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,10.0,0
51,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,4.0,0
52,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,3.0,0
53,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,3.0,0
54,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,2.0,0
55,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,2.0,0
56,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,2.0,0
