year,period,periodName,value,footnotes,seriesID
2021,M12,December,5.257,,APU0000710212
2021,M11,November,5.326,,APU0000710212
2021,M10,October,5.396,,APU0000710212
2021,M09,September,5.387,,APU0000710212
2021,M08,August,5.336,,APU0000710212
2021,M07,July,5.392,,APU0000710212
2021,M06,June,5.386,,APU0000710212
2021,M05,May,5.421,,APU0000710212
2021,M04,April,5.441,,APU0000710212
2021,M03,March,5.682,,APU0000710212
2021,M02,February,5.600,,APU0000710212
2021,M01,January,5.656,,APU0000710212
2020,M12,December,5.540,,APU0000710212
2020,M11,November,5.589,,APU0000710212
2020,M10,October,5.583,,APU0000710212
2020,M09,September,5.611,,APU0000710212
2020,M08,August,5.572,,APU0000710212
2020,M07,July,5.517,,APU0000710212
2020,M06,June,5.619,,APU0000710212
2020,M05,May,5.558,,APU0000710212
2020,M04,April,5.453,,APU0000710212
2020,M03,March,5.329,,APU0000710212
2020,M02,February,5.381,,APU0000710212
2020,M01,January,5.204,,APU0000710212
2019,M12,December,5.302,,APU0000710212
2019,M11,November,5.309,,APU0000710212
2019,M10,October,5.277,,APU0000710212
2019,M09,September,5.406,,APU0000710212
2019,M08,August,5.367,,APU0000710212
2019,M07,July,5.349,,APU0000710212
2019,M06,June,5.254,,APU0000710212
2019,M05,May,5.327,,APU0000710212
2019,M04,April,5.290,,APU0000710212
2019,M03,March,5.193,,APU0000710212
2019,M02,February,5.247,,APU0000710212
2019,M01,January,5.372,,APU0000710212
2018,M12,December,5.360,,APU0000710212
2018,M11,November,5.229,,APU0000710212
2018,M10,October,5.158,,APU0000710212
2018,M09,September,5.128,,APU0000710212
2018,M08,August,5.118,,APU0000710212
2018,M07,July,5.065,,APU0000710212
2018,M06,June,5.234,,APU0000710212
2018,M05,May,5.131,,APU0000710212
2018,M04,April,5.030,,APU0000710212
2018,M03,March,5.064,,APU0000710212
2018,M02,February,5.082,,APU0000710212
2018,M01,January,5.021,,APU0000710212
2017,M12,December,4.950,,APU0000710212
2017,M11,November,5.006,,APU0000710212
2017,M10,October,5.028,,APU0000710212
2017,M09,September,5.010,,APU0000710212
2017,M08,August,4.862,,APU0000710212
2017,M07,July,4.851,,APU0000710212
2017,M06,June,4.797,,APU0000710212
2017,M05,May,4.748,,APU0000710212
2017,M04,April,4.794,,APU0000710212
2017,M03,March,4.799,,APU0000710212
2017,M02,February,4.967,,APU0000710212
2017,M01,January,4.933,,APU0000710212
2016,M12,December,4.895,,APU0000710212
2016,M11,November,4.914,,APU0000710212
2016,M10,October,5.352,,APU0000710212
2016,M09,September,5.023,,APU0000710212
2016,M08,August,5.272,,APU0000710212
2016,M07,July,5.184,,APU0000710212
2016,M06,June,5.269,,APU0000710212
2016,M05,May,5.365,,APU0000710212
2016,M04,April,5.399,,APU0000710212
2016,M03,March,5.364,,APU0000710212
2016,M02,February,5.369,,APU0000710212
2016,M01,January,5.411,,APU0000710212
2015,M12,December,5.328,,APU0000710212
2015,M11,November,5.433,,APU0000710212
2015,M10,October,5.478,,APU0000710212
2015,M09,September,5.382,,APU0000710212
2015,M08,August,5.336,,APU0000710212
2015,M07,July,5.376,,APU0000710212
2015,M06,June,5.256,,APU0000710212
2015,M05,May,5.312,,APU0000710212
2015,M04,April,5.384,,APU0000710212
2015,M03,March,5.384,,APU0000710212
2015,M02,February,5.480,,APU0000710212
2015,M01,January,5.401,,APU0000710212
2014,M12,December,5.438,,APU0000710212
2014,M11,November,5.419,,APU0000710212
2014,M10,October,5.568,,APU0000710212
2014,M09,September,5.565,,APU0000710212
2014,M08,August,5.580,,APU0000710212
2014,M07,July,5.560,,APU0000710212
2014,M06,June,5.560,,APU0000710212
2014,M05,May,5.586,,APU0000710212
2014,M04,April,5.733,,APU0000710212
2014,M03,March,5.579,,APU0000710212
2014,M02,February,5.543,,APU0000710212
2014,M01,January,5.381,,APU0000710212
2013,M12,December,5.386,,APU0000710212
2013,M11,November,5.391,,APU0000710212
2013,M10,October,5.390,,APU0000710212
2013,M09,September,5.433,,APU0000710212
2013,M08,August,5.465,,APU0000710212
2013,M07,July,5.434,,APU0000710212
2013,M06,June,5.493,,APU0000710212
2013,M05,May,5.559,,APU0000710212
2013,M04,April,5.635,,APU0000710212
2013,M03,March,5.736,,APU0000710212
2013,M02,February,5.936,,APU0000710212
2013,M01,January,5.832,,APU0000710212
2012,M12,December,5.867,,APU0000710212
2012,M11,November,5.833,,APU0000710212
2012,M10,October,5.635,,APU0000710212
2012,M09,September,5.575,,APU0000710212
2012,M08,August,5.493,,APU0000710212
2012,M07,July,5.457,,APU0000710212
2012,M06,June,5.475,,APU0000710212
2012,M05,May,5.568,,APU0000710212
2012,M04,April,5.628,,APU0000710212
2012,M03,March,5.659,,APU0000710212
2012,M02,February,5.598,,APU0000710212
