year,period,periodName,value,footnotes,seriesID
2021,M12,December,0.622,,APU0000711211
2021,M11,November,0.619,,APU0000711211
2021,M10,October,0.600,,APU0000711211
2021,M09,September,0.597,,APU0000711211
2021,M08,August,0.589,,APU0000711211
2021,M07,July,0.594,,APU0000711211
2021,M06,June,0.595,,APU0000711211
2021,M05,May,0.600,,APU0000711211
2021,M04,April,0.604,,APU0000711211
2021,M03,March,0.594,,APU0000711211
2021,M02,February,0.590,,APU0000711211
2021,M01,January,0.597,,APU0000711211
2020,M12,December,0.572,,APU0000711211
2020,M11,November,0.578,,APU0000711211
2020,M10,October,0.577,,APU0000711211
2020,M09,September,0.574,,APU0000711211
2020,M08,August,0.576,,APU0000711211
2020,M07,July,0.580,,APU0000711211
2020,M06,June,0.588,,APU0000711211
2020,M05,May,0.589,,APU0000711211
2020,M04,April,0.581,,APU0000711211
2020,M03,March,0.576,,APU0000711211
2020,M02,February,0.574,,APU0000711211
2020,M01,January,0.570,,APU0000711211
2019,M12,December,0.573,,APU0000711211
2019,M11,November,0.573,,APU0000711211
2019,M10,October,0.573,,APU0000711211
2019,M09,September,0.569,,APU0000711211
2019,M08,August,0.578,,APU0000711211
2019,M07,July,0.569,,APU0000711211
2019,M06,June,0.574,,APU0000711211
2019,M05,May,0.579,,APU0000711211
2019,M04,April,0.567,,APU0000711211
2019,M03,March,0.581,,APU0000711211
2019,M02,February,0.571,,APU0000711211
2019,M01,January,0.576,,APU0000711211
2018,M12,December,0.577,,APU0000711211
2018,M11,November,0.566,,APU0000711211
2018,M10,October,0.574,,APU0000711211
2018,M09,September,0.573,,APU0000711211
2018,M08,August,0.569,,APU0000711211
2018,M07,July,0.575,,APU0000711211
2018,M06,June,0.575,,APU0000711211
2018,M05,May,0.575,,APU0000711211
2018,M04,April,0.578,,APU0000711211
2018,M03,March,0.582,,APU0000711211
2018,M02,February,0.574,,APU0000711211
2018,M01,January,0.568,,APU0000711211
2017,M12,December,0.558,,APU0000711211
2017,M11,November,0.551,,APU0000711211
2017,M10,October,0.548,,APU0000711211
2017,M09,September,0.544,,APU0000711211
2017,M08,August,0.561,,APU0000711211
2017,M07,July,0.565,,APU0000711211
2017,M06,June,0.572,,APU0000711211
2017,M05,May,0.564,,APU0000711211
2017,M04,April,0.571,,APU0000711211
2017,M03,March,0.571,,APU0000711211
2017,M02,February,0.573,,APU0000711211
2017,M01,January,0.573,,APU0000711211
2016,M12,December,0.576,,APU0000711211
2016,M11,November,0.573,,APU0000711211
2016,M10,October,0.570,,APU0000711211
2016,M09,September,0.575,,APU0000711211
2016,M08,August,0.562,,APU0000711211
2016,M07,July,0.567,,APU0000711211
2016,M06,June,0.569,,APU0000711211
2016,M05,May,0.570,,APU0000711211
2016,M04,April,0.574,,APU0000711211
2016,M03,March,0.586,,APU0000711211
2016,M02,February,0.573,,APU0000711211
2016,M01,January,0.581,,APU0000711211
2015,M12,December,0.580,,APU0000711211
2015,M11,November,0.575,,APU0000711211
2015,M10,October,0.577,,APU0000711211
2015,M09,September,0.580,,APU0000711211
2015,M08,August,0.580,,APU0000711211
2015,M07,July,0.581,,APU0000711211
2015,M06,June,0.574,,APU0000711211
2015,M05,May,0.582,,APU0000711211
2015,M04,April,0.597,,APU0000711211
2015,M03,March,0.593,,APU0000711211
2015,M02,February,0.591,,APU0000711211
2015,M01,January,0.583,,APU0000711211
2014,M12,December,0.585,,APU0000711211
2014,M11,November,0.592,,APU0000711211
2014,M10,October,0.582,,APU0000711211
2014,M09,September,0.606,,APU0000711211
2014,M08,August,0.608,,APU0000711211
2014,M07,July,0.606,,APU0000711211
2014,M06,June,0.607,,APU0000711211
2014,M05,May,0.603,,APU0000711211
2014,M04,April,0.597,,APU0000711211
2014,M03,March,0.597,,APU0000711211
2014,M02,February,0.599,,APU0000711211
2014,M01,January,0.595,,APU0000711211
2013,M12,December,0.592,,APU0000711211
2013,M11,November,0.587,,APU0000711211
2013,M10,October,0.586,,APU0000711211
2013,M09,September,0.601,,APU0000711211
2013,M08,August,0.595,,APU0000711211
2013,M07,July,0.602,,APU0000711211
2013,M06,June,0.603,,APU0000711211
2013,M05,May,0.603,,APU0000711211
2013,M04,April,0.597,,APU0000711211
2013,M03,March,0.609,,APU0000711211
2013,M02,February,0.611,,APU0000711211
2013,M01,January,0.609,,APU0000711211
2012,M12,December,0.606,,APU0000711211
2012,M11,November,0.600,,APU0000711211
2012,M10,October,0.602,,APU0000711211
2012,M09,September,0.597,,APU0000711211
2012,M08,August,0.595,,APU0000711211
2012,M07,July,0.604,,APU0000711211
2012,M06,June,0.605,,APU0000711211
2012,M05,May,0.599,,APU0000711211
2012,M04,April,0.603,,APU0000711211
2012,M03,March,0.607,,APU0000711211
2012,M02,February,0.603,,APU0000711211
