+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| APU0000702421 | 2021 |  M12   | 4.089 |           |
| APU0000702421 | 2021 |  M11   | 3.999 |           |
| APU0000702421 | 2021 |  M10   | 3.815 |           |
| APU0000702421 | 2021 |  M09   | 3.981 |           |
| APU0000702421 | 2021 |  M08   | 4.065 |           |
| APU0000702421 | 2021 |  M07   | 4.065 |           |
| APU0000702421 | 2021 |  M06   | 4.068 |           |
| APU0000702421 | 2021 |  M05   | 4.019 |           |
| APU0000702421 | 2021 |  M04   | 3.939 |           |
| APU0000702421 | 2021 |  M03   | 3.964 |           |
| APU0000702421 | 2021 |  M02   | 3.800 |           |
| APU0000702421 | 2021 |  M01   | 3.669 |           |
| APU0000702421 | 2020 |  M12   | 3.793 |           |
| APU0000702421 | 2020 |  M11   | 3.767 |           |
| APU0000702421 | 2020 |  M10   | 3.848 |           |
| APU0000702421 | 2020 |  M09   | 3.659 |           |
| APU0000702421 | 2020 |  M08   | 3.769 |           |
| APU0000702421 | 2020 |  M07   | 3.696 |           |
| APU0000702421 | 2020 |  M06   | 3.717 |           |
| APU0000702421 | 2020 |  M05   | 3.617 |           |
| APU0000702421 | 2020 |  M04   | 3.826 |           |
| APU0000702421 | 2020 |  M03   | 3.633 |           |
| APU0000702421 | 2020 |  M02   | 3.551 |           |
| APU0000702421 | 2020 |  M01   | 3.525 |           |
| APU0000702421 | 2019 |  M12   | 3.584 |           |
| APU0000702421 | 2019 |  M11   | 3.603 |           |
| APU0000702421 | 2019 |  M10   | 3.602 |           |
| APU0000702421 | 2019 |  M09   | 3.587 |           |
| APU0000702421 | 2019 |  M08   | 3.496 |           |
| APU0000702421 | 2019 |  M07   | 3.468 |           |
| APU0000702421 | 2019 |  M06   | 3.504 |           |
| APU0000702421 | 2019 |  M05   | 3.352 |           |
| APU0000702421 | 2019 |  M04   | 3.426 |           |
| APU0000702421 | 2019 |  M03   | 3.311 |           |
| APU0000702421 | 2019 |  M02   | 3.516 |           |
| APU0000702421 | 2019 |  M01   | 3.466 |           |
| APU0000702421 | 2018 |  M12   | 3.527 |           |
| APU0000702421 | 2018 |  M11   | 3.527 |           |
| APU0000702421 | 2018 |  M10   | 3.456 |           |
| APU0000702421 | 2018 |  M09   | 3.451 |           |
| APU0000702421 | 2018 |  M08   | 3.351 |           |
| APU0000702421 | 2018 |  M07   | 3.481 |           |
| APU0000702421 | 2018 |  M06   | 3.490 |           |
| APU0000702421 | 2018 |  M05   | 3.400 |           |
| APU0000702421 | 2018 |  M04   | 3.328 |           |
| APU0000702421 | 2018 |  M03   | 3.579 |           |
| APU0000702421 | 2018 |  M02   | 3.725 |           |
| APU0000702421 | 2018 |  M01   | 3.681 |           |
| APU0000702421 | 2017 |  M12   | 3.601 |           |
| APU0000702421 | 2017 |  M11   | 3.639 |           |
| APU0000702421 | 2017 |  M10   | 3.511 |           |
| APU0000702421 | 2017 |  M09   | 3.494 |           |
| APU0000702421 | 2017 |  M08   | 3.568 |           |
| APU0000702421 | 2017 |  M07   | 3.467 |           |
| APU0000702421 | 2017 |  M06   | 3.575 |           |
| APU0000702421 | 2017 |  M05   | 3.506 |           |
| APU0000702421 | 2017 |  M04   | 3.404 |           |
| APU0000702421 | 2017 |  M03   | 3.346 |           |
| APU0000702421 | 2017 |  M02   | 3.390 |           |
| APU0000702421 | 2017 |  M01   | 3.397 |           |
| APU0000702421 | 2016 |  M12   | 3.409 |           |
| APU0000702421 | 2016 |  M11   | 3.366 |           |
| APU0000702421 | 2016 |  M10   | 3.470 |           |
| APU0000702421 | 2016 |  M09   | 3.300 |           |
| APU0000702421 | 2016 |  M08   | 3.219 |           |
| APU0000702421 | 2016 |  M07   | 3.217 |           |
| APU0000702421 | 2016 |  M06   | 3.320 |           |
| APU0000702421 | 2016 |  M05   | 3.423 |           |
| APU0000702421 | 2016 |  M04   | 3.420 |           |
| APU0000702421 | 2016 |  M03   | 3.400 |           |
| APU0000702421 | 2016 |  M02   | 3.289 |           |
| APU0000702421 | 2016 |  M01   | 3.330 |           |
| APU0000702421 | 2015 |  M12   | 3.316 |           |
| APU0000702421 | 2015 |  M11   | 3.413 |           |
| APU0000702421 | 2015 |  M10   | 3.391 |           |
| APU0000702421 | 2015 |  M09   | 3.366 |           |
| APU0000702421 | 2015 |  M08   | 3.233 |           |
| APU0000702421 | 2015 |  M07   | 3.305 |           |
| APU0000702421 | 2015 |  M06   | 3.286 |           |
| APU0000702421 | 2015 |  M05   | 3.212 |           |
| APU0000702421 | 2015 |  M04   | 3.335 |           |
| APU0000702421 | 2015 |  M03   | 3.486 |           |
| APU0000702421 | 2015 |  M02   | 3.477 |           |
| APU0000702421 | 2015 |  M01   | 3.428 |           |
| APU0000702421 | 2014 |  M12   | 3.498 |           |
| APU0000702421 | 2014 |  M11   | 3.641 |           |
| APU0000702421 | 2014 |  M10   | 3.295 |           |
| APU0000702421 | 2014 |  M09   | 3.333 |           |
| APU0000702421 | 2014 |  M08   | 3.375 |           |
| APU0000702421 | 2014 |  M07   | 3.456 |           |
| APU0000702421 | 2014 |  M06   | 3.324 |           |
| APU0000702421 | 2014 |  M05   | 3.391 |           |
| APU0000702421 | 2014 |  M04   | 3.579 |           |
| APU0000702421 | 2014 |  M03   | 3.424 |           |
| APU0000702421 | 2014 |  M02   | 3.329 |           |
| APU0000702421 | 2014 |  M01   | 3.279 |           |
| APU0000702421 | 2013 |  M12   | 3.492 |           |
| APU0000702421 | 2013 |  M11   | 3.781 |           |
| APU0000702421 | 2013 |  M10   | 3.690 |           |
| APU0000702421 | 2013 |  M09   | 3.599 |           |
| APU0000702421 | 2013 |  M08   | 3.451 |           |
| APU0000702421 | 2013 |  M07   | 3.630 |           |
| APU0000702421 | 2013 |  M06   | 3.721 |           |
| APU0000702421 | 2013 |  M05   | 3.428 |           |
| APU0000702421 | 2013 |  M04   | 3.729 |           |
| APU0000702421 | 2013 |  M03   | 3.774 |           |
| APU0000702421 | 2013 |  M02   | 3.625 |           |
| APU0000702421 | 2013 |  M01   | 3.728 |           |
| APU0000702421 | 2012 |  M12   | 3.617 |           |
| APU0000702421 | 2012 |  M11   | 3.755 |           |
| APU0000702421 | 2012 |  M10   | 3.595 |           |
| APU0000702421 | 2012 |  M09   | 3.346 |           |
| APU0000702421 | 2012 |  M08   | 3.374 |           |
| APU0000702421 | 2012 |  M07   | 3.640 |           |
| APU0000702421 | 2012 |  M06   | 3.729 |           |
| APU0000702421 | 2012 |  M05   | 3.689 |           |
| APU0000702421 | 2012 |  M04   | 3.841 |           |
| APU0000702421 | 2012 |  M03   | 3.483 |           |
| APU0000702421 | 2012 |  M02   | 3.778 |           |
