year,period,periodName,value,footnotes,seriesID
2021,M12,December,4.766,,APU0000710411
2021,M11,November,4.770,,APU0000710411
2021,M10,October,4.952,,APU0000710411
2021,M09,September,4.900,,APU0000710411
2021,M08,August,4.918,,APU0000710411
2021,M07,July,4.943,,APU0000710411
2021,M06,June,4.886,,APU0000710411
2021,M05,May,4.685,,APU0000710411
2021,M04,April,4.978,,APU0000710411
2021,M03,March,4.949,,APU0000710411
2021,M02,February,4.937,,APU0000710411
2021,M01,January,5.014,,APU0000710411
2020,M12,December,4.927,,APU0000710411
2020,M11,November,4.846,,APU0000710411
2020,M10,October,4.925,,APU0000710411
2020,M09,September,4.944,,APU0000710411
2020,M08,August,4.950,,APU0000710411
2020,M07,July,4.898,,APU0000710411
2020,M06,June,5.088,,APU0000710411
2020,M05,May,4.934,,APU0000710411
2020,M04,April,4.941,,APU0000710411
2020,M03,March,4.918,,APU0000710411
2020,M02,February,4.884,,APU0000710411
2020,M01,January,4.824,,APU0000710411
2019,M12,December,4.740,,APU0000710411
2019,M11,November,4.935,,APU0000710411
2019,M10,October,4.940,,APU0000710411
2019,M09,September,4.802,,APU0000710411
2019,M08,August,4.682,,APU0000710411
2019,M07,July,4.674,,APU0000710411
2019,M06,June,4.633,,APU0000710411
2019,M05,May,4.850,,APU0000710411
2019,M04,April,4.821,,APU0000710411
2019,M03,March,4.791,,APU0000710411
2019,M02,February,4.981,,APU0000710411
2019,M01,January,4.912,,APU0000710411
2018,M12,December,4.812,,APU0000710411
2018,M11,November,4.786,,APU0000710411
2018,M10,October,4.864,,APU0000710411
2018,M09,September,4.754,,APU0000710411
2018,M08,August,4.662,,APU0000710411
2018,M07,July,4.750,,APU0000710411
2018,M06,June,4.656,,APU0000710411
2018,M05,May,4.588,,APU0000710411
2018,M04,April,4.709,,APU0000710411
2018,M03,March,4.825,,APU0000710411
2018,M02,February,4.670,,APU0000710411
2018,M01,January,4.786,,APU0000710411
2017,M12,December,4.758,,APU0000710411
2017,M11,November,4.567,,APU0000710411
2017,M10,October,4.683,,APU0000710411
2017,M09,September,4.648,,APU0000710411
2017,M08,August,4.688,,APU0000710411
2017,M07,July,4.606,,APU0000710411
2017,M06,June,4.629,,APU0000710411
2017,M05,May,4.631,,APU0000710411
2017,M04,April,4.659,,APU0000710411
2017,M03,March,4.751,,APU0000710411
2017,M02,February,4.870,,APU0000710411
2017,M01,January,4.834,,APU0000710411
2016,M12,December,4.682,,APU0000710411
2016,M11,November,4.615,,APU0000710411
2016,M10,October,4.712,,APU0000710411
2016,M09,September,4.695,,APU0000710411
2016,M08,August,4.710,,APU0000710411
2016,M07,July,4.691,,APU0000710411
2016,M06,June,4.710,,APU0000710411
2016,M05,May,4.801,,APU0000710411
2016,M04,April,4.915,,APU0000710411
2016,M03,March,4.850,,APU0000710411
2016,M02,February,4.851,,APU0000710411
2016,M01,January,4.913,,APU0000710411
2015,M12,December,4.725,,APU0000710411
2015,M11,November,4.684,,APU0000710411
2015,M10,October,4.626,,APU0000710411
2015,M09,September,4.791,,APU0000710411
2015,M08,August,4.597,,APU0000710411
2015,M07,July,4.466,,APU0000710411
2015,M06,June,4.620,,APU0000710411
2015,M05,May,4.696,,APU0000710411
2015,M04,April,4.791,,APU0000710411
2015,M03,March,4.889,,APU0000710411
2015,M02,February,4.955,,APU0000710411
2015,M01,January,5.089,,APU0000710411
2014,M12,December,5.041,,APU0000710411
2014,M11,November,4.863,,APU0000710411
2014,M10,October,4.884,,APU0000710411
2014,M09,September,4.987,,APU0000710411
2014,M08,August,4.751,,APU0000710411
2014,M07,July,4.719,,APU0000710411
2014,M06,June,4.691,,APU0000710411
2014,M05,May,4.911,,APU0000710411
2014,M04,April,5.011,,APU0000710411
2014,M03,March,4.842,,APU0000710411
2014,M02,February,4.979,,APU0000710411
2014,M01,January,5.022,,APU0000710411
2013,M12,December,4.975,,APU0000710411
2013,M11,November,4.885,,APU0000710411
2013,M10,October,4.945,,APU0000710411
2013,M09,September,4.795,,APU0000710411
2013,M08,August,5.034,,APU0000710411
2013,M07,July,4.840,,APU0000710411
2013,M06,June,5.005,,APU0000710411
2013,M05,May,4.831,,APU0000710411
2013,M04,April,5.093,,APU0000710411
2013,M03,March,5.089,,APU0000710411
2013,M02,February,5.184,,APU0000710411
2013,M01,January,5.263,,APU0000710411
2012,M12,December,5.102,,APU0000710411
2012,M11,November,5.036,,APU0000710411
2012,M10,October,5.128,,APU0000710411
2012,M09,September,4.893,,APU0000710411
2012,M08,August,4.846,,APU0000710411
2012,M07,July,4.929,,APU0000710411
2012,M06,June,4.896,,APU0000710411
2012,M05,May,5.048,,APU0000710411
2012,M04,April,5.206,,APU0000710411
2012,M03,March,5.090,,APU0000710411
2012,M02,February,5.030,,APU0000710411
