year,period,periodName,value,footnotes,seriesID
2021,M12,December,1.606,,APU0000706111
2021,M11,November,1.583,,APU0000706111
2021,M10,October,1.523,,APU0000706111
2021,M09,September,1.504,,APU0000706111
2021,M08,August,1.472,,APU0000706111
2021,M07,July,1.435,,APU0000706111
2021,M06,June,1.474,,APU0000706111
2021,M05,May,1.486,,APU0000706111
2021,M04,April,1.515,,APU0000706111
2021,M03,March,1.543,,APU0000706111
2021,M02,February,1.583,,APU0000706111
2021,M01,January,1.595,,APU0000706111
2020,M12,December,1.621,,APU0000706111
2020,M11,November,1.639,,APU0000706111
2020,M10,October,1.580,,APU0000706111
2020,M09,September,1.542,,APU0000706111
2020,M08,August,1.609,,APU0000706111
2020,M07,July,1.712,,APU0000706111
2020,M06,June,1.747,,APU0000706111
2020,M04,April,1.571,,APU0000706111
2020,M03,March,1.400,,APU0000706111
2020,M02,February,1.362,,APU0000706111
2020,M01,January,1.409,,APU0000706111
2019,M12,December,1.450,,APU0000706111
2019,M11,November,1.430,,APU0000706111
2019,M10,October,1.538,,APU0000706111
2019,M09,September,1.487,,APU0000706111
2019,M08,August,1.514,,APU0000706111
2019,M07,July,1.562,,APU0000706111
2019,M06,June,1.590,,APU0000706111
2019,M05,May,1.479,,APU0000706111
2019,M04,April,1.463,,APU0000706111
2019,M03,March,1.468,,APU0000706111
2019,M02,February,1.486,,APU0000706111
2019,M01,January,1.473,,APU0000706111
2018,M12,December,1.466,,APU0000706111
2018,M11,November,1.501,,APU0000706111
2018,M10,October,1.444,,APU0000706111
2018,M09,September,1.487,,APU0000706111
2018,M08,August,1.511,,APU0000706111
2018,M07,July,1.519,,APU0000706111
2018,M06,June,1.514,,APU0000706111
2018,M05,May,1.523,,APU0000706111
2018,M04,April,1.511,,APU0000706111
2018,M03,March,1.502,,APU0000706111
2018,M02,February,1.478,,APU0000706111
2018,M01,January,1.509,,APU0000706111
2017,M12,December,1.470,,APU0000706111
2017,M11,November,1.451,,APU0000706111
2017,M10,October,1.484,,APU0000706111
2017,M09,September,1.480,,APU0000706111
2017,M08,August,1.489,,APU0000706111
2017,M07,July,1.496,,APU0000706111
2017,M06,June,1.497,,APU0000706111
2017,M05,May,1.499,,APU0000706111
2017,M04,April,1.444,,APU0000706111
2017,M03,March,1.462,,APU0000706111
2017,M02,February,1.473,,APU0000706111
2017,M01,January,1.418,,APU0000706111
2016,M12,December,1.463,,APU0000706111
2016,M11,November,1.478,,APU0000706111
2016,M10,October,1.502,,APU0000706111
2016,M09,September,1.487,,APU0000706111
2016,M08,August,1.426,,APU0000706111
2016,M07,July,1.445,,APU0000706111
2016,M06,June,1.408,,APU0000706111
2016,M05,May,1.489,,APU0000706111
2016,M04,April,1.496,,APU0000706111
2016,M03,March,1.463,,APU0000706111
2016,M02,February,1.478,,APU0000706111
2016,M01,January,1.429,,APU0000706111
2015,M12,December,1.437,,APU0000706111
2015,M11,November,1.484,,APU0000706111
2015,M10,October,1.430,,APU0000706111
2015,M09,September,1.415,,APU0000706111
2015,M08,August,1.428,,APU0000706111
2015,M07,July,1.487,,APU0000706111
2015,M06,June,1.515,,APU0000706111
2015,M05,May,1.483,,APU0000706111
2015,M04,April,1.539,,APU0000706111
2015,M03,March,1.545,,APU0000706111
2015,M02,February,1.550,,APU0000706111
2015,M01,January,1.546,,APU0000706111
2014,M12,December,1.541,,APU0000706111
2014,M11,November,1.533,,APU0000706111
2014,M10,October,1.549,,APU0000706111
2014,M09,September,1.543,,APU0000706111
2014,M08,August,1.572,,APU0000706111
2014,M07,July,1.495,,APU0000706111
2014,M06,June,1.503,,APU0000706111
2014,M05,May,1.556,,APU0000706111
2014,M04,April,1.530,,APU0000706111
2014,M03,March,1.544,,APU0000706111
2014,M02,February,1.504,,APU0000706111
2014,M01,January,1.529,,APU0000706111
2013,M12,December,1.520,,APU0000706111
2013,M11,November,1.518,,APU0000706111
2013,M10,October,1.543,,APU0000706111
2013,M09,September,1.528,,APU0000706111
2013,M08,August,1.489,,APU0000706111
2013,M07,July,1.484,,APU0000706111
2013,M06,June,1.509,,APU0000706111
2013,M05,May,1.466,,APU0000706111
2013,M04,April,1.473,,APU0000706111
2013,M03,March,1.471,,APU0000706111
2013,M02,February,1.456,,APU0000706111
2013,M01,January,1.497,,APU0000706111
2012,M12,December,1.482,,APU0000706111
2012,M11,November,1.512,,APU0000706111
2012,M10,October,1.530,,APU0000706111
2012,M09,September,1.455,,APU0000706111
2012,M08,August,1.433,,APU0000706111
2012,M07,July,1.454,,APU0000706111
2012,M06,June,1.390,,APU0000706111
2012,M05,May,1.347,,APU0000706111
2012,M04,April,1.401,,APU0000706111
2012,M03,March,1.372,,APU0000706111
2012,M02,February,1.356,,APU0000706111
