year,period,periodName,value,footnotes,seriesID
2021,M12,December,1.788,,APU0000708111
2021,M11,November,1.718,,APU0000708111
2021,M10,October,1.821,,APU0000708111
2021,M09,September,1.835,,APU0000708111
2021,M08,August,1.709,,APU0000708111
2021,M07,July,1.642,,APU0000708111
2021,M06,June,1.642,,APU0000708111
2021,M05,May,1.625,,APU0000708111
2021,M04,April,1.620,,APU0000708111
2021,M03,March,1.625,,APU0000708111
2021,M02,February,1.597,,APU0000708111
2021,M01,January,1.466,,APU0000708111
2020,M12,December,1.481,,APU0000708111
2020,M11,November,1.450,,APU0000708111
2020,M10,October,1.408,,APU0000708111
2020,M09,September,1.353,,APU0000708111
2020,M08,August,1.328,,APU0000708111
2020,M07,July,1.401,,APU0000708111
2020,M06,June,1.554,,APU0000708111
2020,M05,May,1.640,,APU0000708111
2020,M04,April,2.019,,APU0000708111
2020,M03,March,1.525,,APU0000708111
2020,M02,February,1.449,,APU0000708111
2020,M01,January,1.461,,APU0000708111
2019,M12,December,1.535,,APU0000708111
2019,M11,November,1.405,,APU0000708111
2019,M10,October,1.282,,APU0000708111
2019,M09,September,1.383,,APU0000708111
2019,M08,August,1.219,,APU0000708111
2019,M07,July,1.243,,APU0000708111
2019,M06,June,1.203,,APU0000708111
2019,M05,May,1.362,,APU0000708111
2019,M04,April,1.463,,APU0000708111
2019,M03,March,1.544,,APU0000708111
2019,M02,February,1.557,,APU0000708111
2019,M01,January,1.554,,APU0000708111
2018,M12,December,1.595,,APU0000708111
2018,M11,November,1.596,,APU0000708111
2018,M10,October,1.660,,APU0000708111
2018,M09,September,1.651,,APU0000708111
2018,M08,August,1.622,,APU0000708111
2018,M07,July,1.725,,APU0000708111
2018,M06,June,1.628,,APU0000708111
2018,M05,May,1.987,,APU0000708111
2018,M04,April,2.081,,APU0000708111
2018,M03,March,1.831,,APU0000708111
2018,M02,February,1.755,,APU0000708111
2018,M01,January,1.769,,APU0000708111
2017,M12,December,1.815,,APU0000708111
2017,M11,November,1.506,,APU0000708111
2017,M10,October,1.540,,APU0000708111
2017,M09,September,1.422,,APU0000708111
2017,M08,August,1.367,,APU0000708111
2017,M07,July,1.333,,APU0000708111
2017,M06,June,1.332,,APU0000708111
2017,M05,May,1.414,,APU0000708111
2017,M04,April,1.409,,APU0000708111
2017,M03,March,1.404,,APU0000708111
2017,M02,February,1.464,,APU0000708111
2017,M01,January,1.599,,APU0000708111
2016,M12,December,1.383,,APU0000708111
2016,M11,November,1.321,,APU0000708111
2016,M10,October,1.390,,APU0000708111
2016,M09,September,1.471,,APU0000708111
2016,M08,August,1.455,,APU0000708111
2016,M07,July,1.546,,APU0000708111
2016,M06,June,1.491,,APU0000708111
2016,M05,May,1.684,,APU0000708111
2016,M04,April,1.793,,APU0000708111
2016,M03,March,2.081,,APU0000708111
2016,M02,February,2.267,,APU0000708111
2016,M01,January,2.328,,APU0000708111
2015,M12,December,2.751,,APU0000708111
2015,M11,November,2.664,,APU0000708111
2015,M10,October,2.808,,APU0000708111
2015,M09,September,2.966,,APU0000708111
2015,M08,August,2.943,,APU0000708111
2015,M07,July,2.570,,APU0000708111
2015,M06,June,2.570,,APU0000708111
2015,M05,May,1.962,,APU0000708111
2015,M04,April,2.065,,APU0000708111
2015,M03,March,2.133,,APU0000708111
2015,M02,February,2.088,,APU0000708111
2015,M01,January,2.113,,APU0000708111
2014,M12,December,2.210,,APU0000708111
2014,M11,November,2.032,,APU0000708111
2014,M10,October,1.951,,APU0000708111
2014,M09,September,1.970,,APU0000708111
2014,M08,August,1.979,,APU0000708111
2014,M07,July,1.950,,APU0000708111
2014,M06,June,1.948,,APU0000708111
2014,M05,May,1.996,,APU0000708111
2014,M04,April,2.119,,APU0000708111
2014,M03,March,2.061,,APU0000708111
2014,M02,February,1.998,,APU0000708111
2014,M01,January,2.008,,APU0000708111
2013,M12,December,2.026,,APU0000708111
2013,M11,November,1.925,,APU0000708111
2013,M10,October,1.925,,APU0000708111
2013,M09,September,1.897,,APU0000708111
2013,M08,August,1.838,,APU0000708111
2013,M07,July,1.833,,APU0000708111
2013,M06,June,1.859,,APU0000708111
2013,M05,May,1.870,,APU0000708111
2013,M04,April,1.918,,APU0000708111
2013,M03,March,1.925,,APU0000708111
2013,M02,February,1.965,,APU0000708111
2013,M01,January,1.933,,APU0000708111
2012,M12,December,2.007,,APU0000708111
2012,M11,November,1.963,,APU0000708111
2012,M10,October,1.960,,APU0000708111
2012,M09,September,1.889,,APU0000708111
2012,M08,August,1.884,,APU0000708111
2012,M07,July,1.648,,APU0000708111
2012,M06,June,1.670,,APU0000708111
2012,M05,May,1.691,,APU0000708111
2012,M04,April,1.829,,APU0000708111
2012,M03,March,1.774,,APU0000708111
2012,M02,February,1.798,,APU0000708111
