year,period,periodName,value,footnotes,seriesID
2014,M12,December,0.614,,APU0000715211
2014,M11,November,0.612,,APU0000715211
2014,M10,October,0.616,,APU0000715211
2014,M09,September,0.608,,APU0000715211
2014,M08,August,0.599,,APU0000715211
2014,M07,July,0.596,,APU0000715211
2014,M06,June,0.610,,APU0000715211
2014,M05,May,0.607,,APU0000715211
2014,M04,April,0.599,,APU0000715211
2014,M03,March,0.604,,APU0000715211
2014,M02,February,0.615,,APU0000715211
2014,M01,January,0.628,,APU0000715211
2013,M12,December,0.592,,APU0000715211
2013,M11,November,0.615,,APU0000715211
2013,M10,October,0.628,,APU0000715211
2013,M09,September,0.633,,APU0000715211
2013,M08,August,0.644,,APU0000715211
2013,M07,July,0.641,,APU0000715211
2013,M06,June,0.644,,APU0000715211
2013,M05,May,0.664,,APU0000715211
2013,M04,April,0.656,,APU0000715211
2013,M03,March,0.650,,APU0000715211
2013,M02,February,0.668,,APU0000715211
2013,M01,January,0.683,,APU0000715211
2012,M12,December,0.682,,APU0000715211
2012,M11,November,0.679,,APU0000715211
2012,M10,October,0.680,,APU0000715211
2012,M09,September,0.685,,APU0000715211
2012,M08,August,0.685,,APU0000715211
2012,M07,July,0.692,,APU0000715211
2012,M06,June,0.684,,APU0000715211
2012,M05,May,0.696,,APU0000715211
2012,M04,April,0.704,,APU0000715211
2012,M03,March,0.711,,APU0000715211
2012,M02,February,0.714,,APU0000715211
2012,M01,January,0.717,,APU0000715211
2011,M12,December,0.703,,APU0000715211
2011,M11,November,0.698,,APU0000715211
2011,M10,October,0.704,,APU0000715211
2011,M09,September,0.702,,APU0000715211
2011,M08,August,0.701,,APU0000715211
2011,M07,July,0.689,,APU0000715211
2011,M06,June,0.684,,APU0000715211
2011,M05,May,0.675,,APU0000715211
2011,M04,April,0.664,,APU0000715211
2011,M03,March,0.664,,APU0000715211
2011,M02,February,0.660,,APU0000715211
