year,period,periodName,value,footnotes,seriesID
2014,M12,December,2.189,,APU0000712311
2014,M11,November,1.948,,APU0000712311
2014,M10,October,1.695,,APU0000712311
2014,M09,September,1.546,,APU0000712311
2014,M08,August,1.544,,APU0000712311
2014,M07,July,1.633,,APU0000712311
2014,M06,June,1.675,,APU0000712311
2014,M05,May,1.629,,APU0000712311
2014,M04,April,1.622,,APU0000712311
2014,M03,March,1.632,,APU0000712311
2014,M02,February,1.672,,APU0000712311
2014,M01,January,1.702,,APU0000712311
2013,M12,December,1.727,,APU0000712311
2013,M11,November,1.700,,APU0000712311
2013,M09,September,1.566,,APU0000712311
2013,M08,August,1.509,,APU0000712311
2013,M07,July,1.430,,APU0000712311
2013,M06,June,1.470,,APU0000712311
2013,M05,May,1.454,,APU0000712311
2013,M04,April,1.460,,APU0000712311
2013,M03,March,1.493,,APU0000712311
2013,M02,February,1.497,,APU0000712311
2013,M01,January,1.545,,APU0000712311
2012,M12,December,1.594,,APU0000712311
2012,M11,November,1.469,,APU0000712311
2012,M10,October,1.443,,APU0000712311
2012,M09,September,1.384,,APU0000712311
2012,M08,August,1.440,,APU0000712311
2012,M07,July,1.506,,APU0000712311
2012,M06,June,1.492,,APU0000712311
2012,M05,May,1.336,,APU0000712311
2012,M04,April,1.388,,APU0000712311
2012,M03,March,1.452,,APU0000712311
2012,M02,February,1.433,,APU0000712311
2012,M01,January,1.542,,APU0000712311
2011,M12,December,1.531,,APU0000712311
2011,M11,November,1.516,,APU0000712311
2011,M10,October,1.465,,APU0000712311
2011,M09,September,1.503,,APU0000712311
2011,M08,August,1.420,,APU0000712311
2011,M07,July,1.442,,APU0000712311
2011,M06,June,1.559,,APU0000712311
2011,M05,May,1.794,,APU0000712311
2011,M04,April,2.270,,APU0000712311
2011,M03,March,2.086,,APU0000712311
2011,M02,February,1.832,,APU0000712311
